age,income,years_experience,gender,target
56,43422,14,F,1
46,47213,15,M,1
32,47084,14,M,1
60,25142,2,F,0
25,23080,4,F,0
38,63190,20,M,1
56,97127,38,M,1
36,56113,18,F,1
40,65368,22,F,1
28,41458,10,M,0
28,30372,3,F,0
41,61230,23,M,1
53,23483,1,M,0
57,57971,18,F,1
41,50501,17,F,0
20,27911,2,F,0
39,61033,21,M,1
19,20000,1,M,0
41,66053,23,F,1
61,24064,1,F,0
47,20000,0,F,0
55,86580,32,F,1
19,23473,1,F,0
38,63341,20,F,1
50,24359,0,M,0
29,46873,11,F,0
39,65576,21,F,1
61,60976,21,F,1
42,71684,24,F,1
44,60899,19,M,1
59,93510,39,F,1
45,21293,1,F,0
33,54857,15,F,1
32,50776,14,F,1
64,101259,40,M,1
61,28539,4,M,0
20,23661,2,M,0
54,44811,12,M,0
24,29042,6,F,0
38,59081,20,M,1
26,32881,8,M,1
56,20000,1,M,0
35,40337,11,M,0
21,25266,3,M,0
42,71310,24,F,1
31,46507,12,M,0
26,34231,8,F,0
43,69045,25,M,1
19,26259,1,F,0
37,54109,19,F,1
45,56927,20,F,1
64,57746,17,M,1
24,30509,6,F,0
61,40385,12,F,0
25,32416,7,F,0
64,50775,15,M,1
52,74433,28,F,1
31,46503,13,M,1
34,52981,16,F,1
53,39180,11,F,0
57,68189,25,M,1
21,28631,3,M,0
19,23576,1,F,0
23,30292,5,F,0
59,97695,38,M,1
21,29410,3,M,0
46,74356,28,M,1
35,53334,17,M,1
43,45388,13,F,0
61,78449,30,M,1
51,41659,11,M,0
27,39754,9,F,0
53,23316,3,M,0
31,47020,13,F,1
48,69655,24,F,1
65,59958,19,M,1
32,29164,7,M,0
25,36213,7,F,0
31,46692,13,M,0
40,62576,22,F,1
57,31985,8,M,0
38,60618,20,M,1
33,31471,4,F,0
62,48097,12,F,1
35,58475,17,M,1
64,36360,8,F,0
41,20000,1,M,0
43,21465,0,M,0
42,32624,7,M,0
62,67805,23,F,1
58,88167,33,M,1
46,38841,9,F,1
32,20118,0,F,0
62,90157,34,F,1
18,20000,0,M,0
42,63763,24,M,1
24,26390,3,F,0
26,39665,8,F,1
41,23940,4,F,0
18,21632,0,F,0
61,85023,33,F,1
25,37999,7,F,1
41,20865,2,M,0
28,44691,10,F,1
34,51255,16,M,1
25,36214,7,F,0
52,72188,26,M,1
52,60236,21,M,1
50,48354,14,F,1
22,32878,4,F,0
59,46535,14,M,0
56,81021,31,F,1
58,81397,30,F,1
45,72983,27,F,1
24,36201,6,M,0
26,32033,8,M,0
25,35521,7,F,0
29,46075,11,F,1
51,52124,15,F,1
50,78240,27,M,1
65,84924,33,M,1
40,62317,22,F,1
41,66755,23,F,1
54,90815,36,F,1
52,23213,4,F,0
61,60326,22,F,1
57,58370,20,M,1
39,20000,0,F,0
44,39886,12,F,0
52,36243,7,F,0
18,20000,0,F,0
52,50442,14,F,0
54,35946,9,M,0
64,20000,0,F,0
